
Expectation values
  Settings       N_ab   <AB>_sim    <AB>_qm StdErr_sim
33.75, 157.5       9388      0.597      0.556      0.006
33.75, 168.75       9494      0.725      0.707      0.007
33.75, 180      10014      0.852      0.831      0.009
33.75, 191.25      10305      0.925      0.924      0.009
33.75, 202.5      10956      1.000      0.981      0.010
33.75, 213.75      11666      1.000      1.000      0.009
33.75, 225      10759      1.000      0.981      0.010
33.75, 236.25      10446      0.928      0.924      0.009
33.75, 247.5       9682      0.846      0.831      0.009
33.75, 258.75       9391      0.716      0.707      0.007
33.75, 270       8779      0.574      0.556      0.006
33.75, 281.25       9082      0.355      0.383      0.004
33.75, 292.5       9171      0.167      0.195      0.002
33.75, 303.75       9304     -0.037      0.000      0.000
33.75, 315       9455     -0.218     -0.195      0.002
33.75, 326.25       9417     -0.404     -0.383      0.004
33.75, 337.5       9325     -0.593     -0.556      0.006
33.75, 348.75       9621     -0.717     -0.707      0.007
33.75, 360       9866     -0.848     -0.831      0.009
     45, 0       9462     -0.732     -0.707      0.008
 45, 11.25       9897     -0.841     -0.831      0.008
  45, 22.5      10316     -0.929     -0.924      0.009
 45, 33.75      10901     -0.999     -0.981      0.010
    45, 45      11871     -1.000     -1.000      0.009
 45, 56.25      10758     -1.000     -0.981      0.010
  45, 67.5      10073     -0.924     -0.924      0.009
 45, 78.75       9528     -0.837     -0.831      0.009
    45, 90       9055     -0.707     -0.707      0.007
45, 101.25       9033     -0.548     -0.556      0.006
 45, 112.5       9188     -0.344     -0.383      0.004
45, 123.75       9267     -0.142     -0.195      0.001
   45, 135       9405      0.042     -0.000      0.000
45, 146.25       9337      0.260      0.195      0.003
 45, 157.5       9393      0.424      0.383      0.004
45, 168.75       9360      0.599      0.556      0.006
   45, 180       9418      0.724      0.707      0.007
45, 191.25       9861      0.860      0.831      0.009
 45, 202.5      10495      0.932      0.924      0.009
45, 213.75      10871      1.000      0.981      0.010
   45, 225      11532      1.000      1.000      0.009
45, 236.25      10923      1.000      0.981      0.010
 45, 247.5      10154      0.929      0.924      0.009
45, 258.75       9481      0.854      0.831      0.009
   45, 270       9101      0.712      0.707      0.007
45, 281.25       9107      0.532      0.556      0.006
 45, 292.5       9283      0.325      0.383      0.003
45, 303.75       9307      0.151      0.195      0.002
   45, 315       9380     -0.061      0.000      0.001
45, 326.25       9379     -0.225     -0.195      0.002
 45, 337.5       9251     -0.418     -0.383      0.004
45, 348.75       9141     -0.599     -0.556      0.006
   45, 360       9704     -0.730     -0.707      0.007
  56.25, 0       9328     -0.598     -0.556      0.006
56.25, 11.25       9721     -0.728     -0.707      0.007
56.25, 22.5       9939     -0.856     -0.831      0.009
56.25, 33.75      10413     -0.929     -0.924      0.009
 56.25, 45      10923     -1.000     -0.981      0.010
56.25, 56.25      11680     -1.000     -1.000      0.009
56.25, 67.5      10745     -1.000     -0.981      0.010
56.25, 78.75      10164     -0.931     -0.924      0.009
 56.25, 90       9448     -0.847     -0.831      0.009
56.25, 101.25       9380     -0.680     -0.707      0.007
56.25, 112.5       9071     -0.526     -0.556      0.006
56.25, 123.75       9307     -0.332     -0.383      0.003
56.25, 135       9452     -0.143     -0.195      0.001
56.25, 146.25       9431      0.036     -0.000      0.000
56.25, 157.5       9192      0.235      0.195      0.002
56.25, 168.75       9363      0.425      0.383      0.004
56.25, 180       9298      0.586      0.556      0.006
